pickIndex,arid,matlabDatenum,arrivalTimeEpochS,arrivalTimeUTC,network,station,location,channel,seedId,phase,amplitude,signalToNoise,timeUncertaintyS,channelInfoText,channelParseSucceeded,isDeleted,isInfrasoundPhase,isSeismicPhase,isUnclassifiedPhase,isInfrasoundChannel,isSeismicChannel,eventNumber,associationMethod,associationTimeResidualS,associationAmbiguous,eventFirstArrivalDatenum,eventLastArrivalDatenum,eventFirstArrivalEpochS,eventLastArrivalEpochS,eventFirstArrivalUTC,eventLastArrivalUTC,timeFromEventFirstArrivalS
136,508,736574.013182083,1472689138.932,2016-09-01T00:18:58.932,,BCHH,00,HHN,.BCHH.00.HHN,del,-1,-1,NaN,.BCHH..HHN_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
137,509,736574.01319397,1472689139.95899,2016-09-01T00:18:59.958,,BCHH,00,HHZ,.BCHH.00.HHZ,,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,1,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
138,510,736574.013336586,1472689152.281,2016-09-01T00:19:12.281,,BCHH,00,HHZ,.BCHH.00.HHZ,,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,1,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
139,507,736574.021121539,1472689824.901,2016-09-01T00:30:24.901,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
140,506,736574.024223646,1472690092.923,2016-09-01T00:34:52.923,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
141,505,736574.025281447,1472690184.317,2016-09-01T00:36:24.317,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
142,504,736574.032625255,1472690818.822,2016-09-01T00:46:58.822,,BCHH,00,HHZ,.BCHH.00.HHZ,U,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
143,503,736574.040276435,1472691479.884,2016-09-01T00:57:59.884,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
144,501,736574.045209225,1472691906.077,2016-09-01T01:05:06.077,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
145,502,736574.054029572,1472692668.155,2016-09-01T01:17:48.155,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
